model_name,scale_bucket,GT,TP,FN,recall
yolo_a4+b7+d6,s<16,1,0,1,0.000000
yolo_a4+b7+d6,16<=s<32,39,6,33,0.153846
yolo_a4+b7+d6,32<=s<64,41,9,32,0.219512
yolo_a4+b7+d6,s>=64,17,15,2,0.882353
exp_2603040206,s<16,1,0,1,0.000000
exp_2603040206,16<=s<32,39,10,29,0.256410
exp_2603040206,32<=s<64,41,17,24,0.414634
exp_2603040206,s>=64,17,14,3,0.823529
yolo_a3+b3+d3,s<16,1,0,1,0.000000
yolo_a3+b3+d3,16<=s<32,39,12,27,0.307692
yolo_a3+b3+d3,32<=s<64,41,15,26,0.365854
yolo_a3+b3+d3,s>=64,17,15,2,0.882353
yolo_a7+b7+c7+d7,s<16,1,0,1,0.000000
yolo_a7+b7+c7+d7,16<=s<32,39,10,29,0.256410
yolo_a7+b7+c7+d7,32<=s<64,41,18,23,0.439024
yolo_a7+b7+c7+d7,s>=64,17,11,6,0.647059
yolo_a3+c5,s<16,1,0,1,0.000000
yolo_a3+c5,16<=s<32,39,13,26,0.333333
yolo_a3+c5,32<=s<64,41,19,22,0.463415
yolo_a3+c5,s>=64,17,16,1,0.941176
yolo_a6+b6+c6+d6,s<16,1,0,1,0.000000
yolo_a6+b6+c6+d6,16<=s<32,39,12,27,0.307692
yolo_a6+b6+c6+d6,32<=s<64,41,16,25,0.390244
yolo_a6+b6+c6+d6,s>=64,17,14,3,0.823529
yolo_a6+b7+d11,s<16,1,0,1,0.000000
yolo_a6+b7+d11,16<=s<32,39,7,32,0.179487
yolo_a6+b7+d11,32<=s<64,41,13,28,0.317073
yolo_a6+b7+d11,s>=64,17,15,2,0.882353
yolo_a3+c5,s<16,1,0,1,0.000000
yolo_a3+c5,16<=s<32,39,12,27,0.307692
yolo_a3+c5,32<=s<64,41,19,22,0.463415
yolo_a3+c5,s>=64,17,16,1,0.941176
